resn,cause,lon,lat,occu_year,sgg_cd
전기누전(전선피복 노출),grid_electric,128.45863817824855,38.19172344068071,2017,42210
원인미상,unknown,127.99756537209176,38.17755292367694,2017,42800
쓰레기 소각,human,128.60680414525453,37.176794785500604,2017,42750
원인미상,unknown,128.0251923400026,37.49632150341858,2017,42730
입산자 실화,human,128.48493869381088,38.33324369327084,2017,42820
입산자 실화추정,human,127.47949329334769,38.10183188191102,2016,42790
UDT훈련 중 교탄 사용,unknown,128.01771260762092,38.16462479404508,2016,42800
기타(직접입력),unknown,128.0199620789239,38.161949699415935,2016,42800
입산자 실화추정,human,128.3779005649523,38.227917223417876,2016,42810
(화목)보일러 불씨비화 추정,human,128.79976658019677,37.26413737520506,2016,42770
철도 고압선 절단 스파크,grid_electric,128.6780022790541,37.22073935308878,2016,42770
기타(직접입력),unknown,129.10693893389984,37.55723219880862,2016,42170
원인미상,unknown,129.1046028650035,37.56000193163249,2016,42170
무속행위,unknown,127.82191733543021,37.97469454996226,2016,42110
농산폐기물 소각,human,128.03912907281503,37.45981535554827,2016,42730
농산폐기물 소각,human,128.04135941000243,37.45705410375065,2016,42730
밭두렁소각,human,128.52550625271562,37.34278986248737,2014,42760
무속행위,unknown,129.0087514563781,37.23128160918363,2014,42230
산나물채취자 실화 추정,human,129.21503357136407,37.34905738789317,2014,42230
입산자실화 추정,human,128.95382783108633,37.482801465404584,2014,42770
양봉사화재비화,unknown,128.4034676959167,38.376490116891716,2014,42820
입산자실화 추정,human,128.08605257168102,37.98923923370278,2014,42810
입산자실화 추정,human,128.3803303281328,37.26955122662354,2014,42750
쓰레기 소각,human,129.19317603336546,37.275058001839305,2018,42230
입산자 실화,human,127.77339196074958,37.99105300051685,2018,42110
원인미상,unknown,127.7618430397939,37.27189299976536,2018,42130
입산자 실화,human,127.65995297616557,37.840499002026654,2018,42110
입산자 실화,human,128.1653400346141,38.09730999802601,2018,42810
입산자 실화,human,127.7857499942817,38.08722100214798,2018,42790
전기선 누전추정,grid_electric,128.43080271136023,38.45004848182814,2017,42820
담뱃불 실화추정,human,127.66649351991771,37.86001038686209,2017,42110
농산폐기물 소각,human,127.22701396740293,38.14899426767637,2017,42780
입산자 실화추정,human,127.42818898033565,38.13329081300178,2017,42780
숯공장 굴뚝불티 비화,unknown,127.9958051232925,37.426430092578435,2017,42130
화덕재 비화,unknown,128.20095598984122,37.362187406982855,2017,42750
입산자 실화,human,127.34952979911229,38.20034390745168,2017,42780
쓰레기 소각(낙엽)_,human,128.12339967029214,37.51082206655863,2016,42730
나무보일러 재 비화,unknown,127.76721658216043,37.90649963242956,2016,42110
쓰레기 소각,human,127.76619061627444,37.34650084608551,2016,42130
(화목)보일러 재,human,128.07093096100886,37.8250077302523,2016,42720
입산자 실화,human,128.11785553785316,37.25827693694078,2016,42130
건축물 실화(정화조 수리),human,128.2006553237156,37.36553103402678,2016,42750
입산자 실화추정(조사중),human,127.85012272855252,37.716383293434795,2016,42720
쓰레기 소각,human,128.11795408303982,37.80892916344593,2016,42720
쓰레기 소각,human,127.89589027531092,37.213184193350024,2016,42130
기타(직접입력),unknown,128.5809952776472,38.11559639936248,2016,42830
쓰레기 소각(호두껍질),human,128.5786926260794,38.11828801421126,2016,42830
원인미상(조사중),unknown,127.65758861033775,37.96536258711348,2016,42110
기타(직접입력),unknown,127.61869676876402,37.983963599915256,2016,42110
기타(직접입력),unknown,127.62326290535322,37.728249697267124,2016,42110
보일러 연통불씨 비화,unknown,127.62527800619856,37.743591310146094,2016,42110
입산자 실화추정,human,127.70386720866128,37.82861833517645,2016,42110
보일러실 화재 비화,unknown,128.91538128439893,37.701250393877174,2016,42150
쓰레기소각,human,128.51955671058886,37.15277525135744,2014,42750
입산자실화 추정,human,128.07480449651396,38.198465832372115,2014,42800
입산자실화 추정,human,127.988944060647,37.67392990611649,2014,42720
입산자실화 추정,human,128.76249341293348,37.911030725781046,2014,42830
입산자실화,human,128.0040882190328,38.02175768387176,2014,42800
입산자실화 추정,human,128.30454737278615,37.27442214989434,2014,42750
원인미상,unknown,128.4954967730082,37.65420225662192,2014,42760
담뱃불실화 추정,human,127.72512503137621,38.1082426568614,2014,42790
입산자실화 추정,human,128.73906103841028,37.94452456583027,2014,42830
농산폐기물소각,human,129.1237015869331,37.45677127701255,2014,42230
원인미상,unknown,128.25949650196142,37.32769847473467,2014,42750
입산자실화,human,127.67628659381907,37.74485634751379,2014,42110
입산자실화,human,127.75107592262998,37.80090529327434,2014,42110
원인미상,unknown,128.14902941383184,37.27637976924623,2014,42750
입산자실화,human,128.11806008424335,37.52738386491165,2014,42730
입산자실화,human,127.65261607591405,37.73302321103346,2014,42110
입산자 담뱃불 실화추정,human,128.69393300230269,37.61187599843868,2018,42760
원인미상,unknown,128.71006997874048,37.96394500056411,2018,42830
쓰레기 소각,human,127.91784599917007,37.86629799992167,2018,42110
원인미상,unknown,129.33257597033443,37.21881300097636,2018,42230
농산폐기물 소각,human,127.95246931600826,37.76973546421683,2017,42720
농산폐기물 소각,human,127.6403802132606,37.832182944009354,2017,42110
산업현장 실화(추정),human,128.0881202239705,37.567446097084,2017,42730
입산자 실화추정,human,127.51581801933399,38.089825080741456,2017,42790
입산자 실화,human,128.17619195274082,38.05128801529022,2017,42810
농산폐기물 소각,human,127.7499949798486,37.845882408771324,2017,42110
논밭두렁 소각,human,127.87720540723275,37.423760251783264,2016,42130
쓰레기 소각,human,128.03821377937203,38.1521086121984,2016,42800
담뱃불 실화,human,128.45365827763948,38.45321654242046,2016,42820
담뱃불실화,human,128.92909442653715,37.75828985535198,2015,42150
기타(직접입력),unknown,128.06803802646786,37.94338780945133,2015,42810
등산객실화,human,128.76157030414754,37.95565652803115,2015,42830
쓰레기소각,human,127.96581010646118,37.48584046377627,2015,42730
작업장실화,human,128.25545300520454,37.92309539771251,2015,42810
농산폐기물소각,human,128.8343280929434,37.86509335716592,2015,42150
입산자실화추정,human,128.24563235302398,37.82607434507927,2015,42720
원인미상,unknown,128.6401801513207,37.58062714582041,2015,42760
담뱃불실화 추정,human,128.01838724239929,37.75691309538942,2014,42720
입산자실화 추정,human,128.25257830646385,38.150438989851835,2014,42810
입산자실화 추정,human,128.5135291946955,38.22558115677431,2014,42820
입산자실화 추정,human,128.35027260889464,37.27142776488261,2014,42750
입산자실화 추정,human,127.56133358865519,37.65858570177886,2014,42720
입산자실화 추정,human,127.78769727232309,37.87366583062228,2014,42110
입산자실화 추정,human,127.7880631561383,37.874994792293826,2014,42110
쓰레기소각,human,127.84780830905451,37.817657184044535,2014,42720
칡 채취 중 담뱃불 투기,human,127.19928198643535,38.16444199887178,2018,42780
전선단락(추정),grid_electric,128.46799898283518,38.357459000462164,2018,42820
쓰레기 소각,human,128.48253453261597,37.20439195750667,2017,42750
농산폐기물 소각,human,127.64355144587658,38.115796752786885,2017,42790
주택화재 비화,unknown,128.44602529267036,37.631699229302576,2017,42760
